"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"Singapore","2021-05",0,NA,3.46573583386793,163,-0.0479422040210969,0.805248335524177,NA,0.717801187797292
"Singapore","2021-06",0,NA,3.46573589599342,101,-0.068375669137929,0.672419675589144,NA,0.614726511851549
"Singapore","2021-07",0,NA,3.46573590213338,69,-0.0544305731777143,0.696921628099385,NA,0.683991993983266
"Singapore","2021-08",0,NA,3.46573590273537,67,-0.00420198360089905,0.935310629550505,NA,0.972927765544691
"Singapore","2021-09",0,NA,3.99646199739856,97,0.0528597655874881,1.1792260609166,NA,1.38127498529344
"Singapore","2021-10",1,Inf,2.98400086525491,72,-0.0425778370696182,0.920623108369856,NA,0.746523638364277
"Singapore","2021-11",0,-Inf,1.11173872995012,91,0.0334561982143992,1.11595918084691,NA,1.2324186999889
"Singapore","2021-12",0,NA,1.93512175880973,104,0.0190759132320747,1.21632746703064,NA,1.12882377170431
"Singapore","2021-13",0,NA,3.09831652828839,178,0.0767703787358161,1.38295987189904,NA,1.57943971427537
"Singapore","2021-14",0,NA,3.41539405363888,175,-0.00242822519551016,1.08060644218078,NA,0.98430293672868
"Singapore","2021-15",0,NA,3.45991794282754,178,0.00242822519551015,1.01938699957632,NA,1.01586929091402
"Singapore","2021-16",0,NA,3.99574401651515,175,-0.00242822519551016,1.02163933956305,NA,0.98430293672868
"Singapore","2021-17",1,Inf,2.9839770493601,212,0.0274000429640712,1.07259227910282,NA,1.18810121547229
"Singapore","2021-18",0,-Inf,1.11173812947703,141,-0.0582609120419777,0.866638815620681,NA,0.6645074039078
"Singapore","2021-19",0,NA,2.24717859050417,226,0.0673964441277311,1.22690057024339,NA,1.49978230350708
"Singapore","2021-20",1,Inf,3.06481472724049,239,0.00798979323703211,1.08318315451577,NA,1.05278264025073
"Singapore","2021-21",1,0,1.53453894929025,204,-0.0226205082981849,0.910496281295296,1.0000087081713,0.859616447108851
"Singapore","2021-22",0,-Inf,1.0444284551859,168,-0.0277365734915654,0.813292200131352,NA,0.829677409812748
"Singapore","2021-23",1,Inf,2.16505584967428,80,-0.105991049247054,0.652973228318752,NA,0.450209019104071
"Singapore","2021-24",0,-Inf,1.37790563361831,138,0.0778895786404747,1.1450581485831,NA,1.58912199400413
"Singapore","2021-25",2,Inf,2.8557245909769,130,-0.0085313192430889,1.02348536593608,NA,0.945507703226849
"South Korea","2020-01",0,NA,NA,0,NA,NA,NA,NA
"South Korea","2020-02",0,NA,3.46573590279973,0,NA,3.99646199740559,NA,NA
"South Korea","2020-03",0,NA,3.46573590279973,1,Inf,3.66848417499879,NA,NA
"South Korea","2020-04",0,NA,3.46573590279973,3,0.156944612666873,2.73827788860153,NA,2.36927250358149
"South Korea","2020-05",0,NA,3.46573590279973,11,0.185611854875752,2.12839355258833,NA,2.70117136519086
"South Korea","2020-06",0,NA,3.46573590279973,12,0.0124301967128042,1.15408873988147,NA,1.08284457339324
"South Korea","2020-07",0,NA,6.90466773799743,3,-0.198042051588556,8.1202928140258,NA,0.172281135708002
"South Korea","2020-08",7,Inf,3.51704635078425,732,0.785309746470457,4.42187843098681,NA,17.1412112106574
